"카페 안내문구 1","게시판[[:space:]]*이용전[[:print:]]*이동됩니다.",TRUE
"카페 안내문구 2","카페이용 전[[:print:]]*참고\)",TRUE
"카페 안내문구 3","게시글 작성[[:print:]]*35756864",TRUE
"카페 안내문구 4","흥부야[[:print:]]*기타 하고 싶은 말",TRUE
"URL 문구","(http|www)([a-zA-Z0-9\>\/\.\:\=\&\_])*",TRUE
